iter	Passed	Remaining
0	3	301
1	5	269
2	8	269
3	10	258
4	13	254
5	16	256
6	19	257
7	22	263
8	25	254
9	27	249
10	30	250
11	33	243
12	35	236
13	37	232
14	40	227
15	42	222
16	44	216
17	46	209
18	48	204
19	50	200
20	52	196
21	53	191
22	56	188
23	59	188
24	61	183
25	63	181
26	65	177
27	67	174
28	69	170
29	71	167
30	74	165
31	76	162
32	78	159
33	80	156
34	82	153
35	84	150
36	87	148
37	89	145
38	91	142
39	93	139
40	95	137
41	96	133
42	98	130
43	100	127
44	102	124
45	104	122
46	106	119
47	108	117
48	110	114
49	111	111
50	113	109
51	115	106
52	117	104
53	119	101
54	120	98
55	122	96
56	124	94
57	126	91
58	128	89
59	129	86
60	131	84
61	134	82
62	135	79
63	137	77
64	139	75
65	141	72
66	143	70
67	145	68
68	147	66
69	149	64
70	151	61
71	153	59
72	155	57
73	156	55
74	158	52
75	159	50
76	161	48
77	163	46
78	165	44
79	167	41
80	169	39
81	171	37
82	173	35
83	174	33
84	176	31
85	177	28
86	179	26
87	181	24
88	183	22
89	184	20
90	186	18
91	188	16
92	189	14
93	191	12
94	192	10
95	194	8
96	196	6
97	198	4
98	200	2
99	202	0
